frame,t,ms,fps,draws,uniforms,lookups,vao,tex,dcTerrain,dcObjects,dcHUD,camx,camy,camz,yaw,phase
1,0.000,41.671,24.0,30863,108756,52,30824,14570,30380,376,43,3.03,23.33,7.13,-90.0,idle_spawn
2,0.042,24.780,40.4,30863,108756,0,30824,14570,30380,376,43,3.03,23.33,7.13,-90.0,idle_spawn
3,0.066,25.123,39.8,30863,108756,0,30824,14570,30380,376,43,3.03,23.33,7.13,-90.0,idle_spawn
4,0.092,33.147,30.2,30863,108756,0,30824,14570,30380,376,43,3.03,23.33,7.13,-90.0,idle_spawn
5,0.125,44.697,22.4,30863,108756,0,30824,14570,30380,376,43,3.03,23.33,7.13,-90.0,idle_spawn
6,0.169,41.616,24.0,30863,108756,0,30824,14570,30380,376,43,3.03,23.33,7.13,-90.0,idle_spawn
7,0.211,45.204,22.1,30863,108756,0,30824,14570,30380,376,43,3.03,23.33,7.13,-90.0,idle_spawn
8,0.256,46.461,21.5,30863,108756,0,30824,14570,30380,376,43,3.03,23.33,7.13,-90.0,idle_spawn
9,0.303,50.360,19.9,30863,108756,0,30824,14570,30380,376,43,3.03,23.33,7.13,-90.0,idle_spawn
10,0.353,47.604,21.0,30863,108756,0,30824,14570,30380,376,43,3.03,23.33,7.13,-90.0,idle_spawn
11,0.401,50.946,19.6,30863,108756,0,30824,14570,30380,376,43,3.03,23.33,7.13,-90.0,idle_spawn
12,0.452,51.937,19.3,30863,108756,0,30824,14570,30380,376,43,3.03,23.33,7.13,-90.0,idle_spawn
13,0.504,51.703,19.3,30863,108756,0,30824,14570,30380,376,43,3.03,23.33,7.13,-90.0,idle_spawn
14,0.555,57.005,17.5,30863,108756,0,30824,14570,30380,376,43,3.03,23.33,7.13,-90.0,idle_spawn
15,0.612,53.063,18.8,30863,108756,0,30824,14570,30380,376,43,3.03,23.33,7.13,-90.0,idle_spawn
16,0.666,56.629,17.7,30863,108756,0,30824,14570,30380,376,43,3.03,23.33,7.13,-90.0,idle_spawn
17,0.722,58.941,17.0,30863,108756,0,30824,14570,30380,376,43,3.03,23.33,7.13,-90.0,idle_spawn
18,0.781,64.812,15.4,30863,108756,0,30824,14570,30380,376,43,3.03,23.33,7.13,-90.0,idle_spawn
19,0.846,55.138,18.1,30863,108756,0,30824,14570,30380,376,43,3.03,23.33,7.13,-90.0,idle_spawn
20,0.901,66.474,15.0,30863,108756,0,30824,14570,30380,376,43,3.03,23.33,7.13,-90.0,idle_spawn
21,0.968,52.483,19.1,30863,108756,0,30824,14570,30380,376,43,3.03,23.33,7.13,-90.0,idle_spawn
22,1.020,62.347,16.0,30863,108756,0,30824,14570,30380,376,43,3.03,23.33,7.13,-90.0,idle_spawn
23,1.082,60.296,16.6,30863,108756,0,30824,14570,30380,376,43,3.03,23.33,7.13,-90.0,idle_spawn
24,1.143,63.640,15.7,30863,108756,0,30824,14570,30380,376,43,3.03,23.33,7.13,-90.0,idle_spawn
25,1.206,62.167,16.1,30863,108756,0,30824,14570,30380,376,43,3.03,23.33,7.13,-90.0,idle_spawn
26,1.269,63.744,15.7,30863,108756,0,30824,14570,30380,376,43,3.03,23.33,7.13,-90.0,idle_spawn
27,1.332,65.904,15.2,30863,108756,0,30824,14570,30380,376,43,3.03,23.33,7.13,-90.0,idle_spawn
28,1.398,65.830,15.2,30863,108756,0,30824,14570,30380,376,43,3.03,23.33,7.13,-90.0,idle_spawn
29,1.464,62.607,16.0,30863,108756,0,30824,14570,30380,376,43,3.03,23.33,7.13,-90.0,idle_spawn
30,1.527,63.779,15.7,30863,108756,0,30824,14570,30380,376,43,3.03,23.33,7.13,-90.0,idle_spawn
31,1.591,89.411,11.2,30863,108756,0,30824,14570,30380,376,43,3.03,23.33,7.13,-90.0,idle_spawn
32,1.680,64.281,15.6,30863,108756,0,30824,14570,30380,376,43,3.03,23.33,7.13,-90.0,idle_spawn
33,1.744,61.071,16.4,30863,108756,0,30824,14570,30380,376,43,3.03,23.33,7.13,-90.0,idle_spawn
34,1.805,73.813,13.5,30863,108756,0,30824,14570,30380,376,43,3.03,23.33,7.13,-90.0,idle_spawn
35,1.879,70.093,14.3,30863,108756,0,30824,14570,30380,376,43,3.03,23.33,7.13,-90.0,idle_spawn
36,1.949,69.285,14.4,30863,108756,0,30824,14570,30380,376,43,3.03,23.33,7.13,-90.0,idle_spawn
37,2.019,70.802,14.1,30863,108756,0,30824,14570,30380,376,43,3.03,23.33,7.13,-90.0,idle_spawn
38,2.089,70.664,14.2,30863,108756,0,30824,14570,30380,376,43,3.03,23.33,7.13,-90.0,idle_spawn
39,2.160,70.794,14.1,30863,108756,0,30824,14570,30380,376,43,3.03,23.33,7.13,-90.0,idle_spawn
40,2.231,77.278,12.9,30863,108756,0,30824,14570,30380,376,43,3.03,23.33,7.13,-90.0,idle_spawn
41,2.308,64.869,15.4,30863,108756,0,30824,14570,30380,376,43,3.03,23.33,7.13,-90.0,idle_spawn
42,2.373,96.346,10.4,30863,108756,0,30824,14570,30380,376,43,3.03,23.33,7.13,-90.0,idle_spawn
43,2.470,78.702,12.7,30863,108756,0,30824,14570,30380,376,43,3.03,23.33,7.13,-90.0,idle_spawn
44,2.548,60.860,16.4,30863,108756,0,30824,14570,30380,376,43,3.03,23.33,7.13,-90.0,idle_spawn
45,2.609,64.115,15.6,30863,108756,0,30824,14570,30380,376,43,3.03,23.33,7.13,-90.0,idle_spawn
