frame,t,ms,fps,draws,uniforms,lookups,vao,tex,dcTerrain,dcObjects,dcHUD,camx,camy,camz,yaw,phase
1,0.000,34.103,29.3,16124,68932,55,16085,11951,15680,333,43,30.00,16.50,18.00,0.0,idle_spawn
2,0.034,28.332,35.3,16160,69077,0,16121,11970,15710,339,43,30.00,16.50,18.00,0.8,idle_spawn
3,0.062,28.745,34.8,16166,69110,0,16127,11976,15716,339,43,30.00,16.50,18.00,1.5,idle_spawn
4,0.091,27.624,36.2,16171,69138,0,16132,11981,15721,339,43,30.00,16.50,18.00,2.2,idle_spawn
5,0.119,27.610,36.2,16183,69200,0,16144,11992,15733,339,43,30.00,16.50,18.00,2.9,idle_spawn
6,0.146,29.102,34.4,16194,69253,0,16155,12001,15744,339,43,30.00,16.50,18.00,3.5,idle_spawn
7,0.176,32.381,30.9,16201,69283,0,16162,12003,15751,339,43,30.00,16.50,18.00,4.2,idle_spawn
8,0.208,34.988,28.6,16213,69336,0,16174,12011,15763,339,43,30.00,16.50,18.00,5.0,idle_spawn
9,0.243,28.643,34.9,16215,69344,0,16176,12011,15765,339,43,30.00,16.50,18.00,5.8,idle_spawn
10,0.272,31.909,31.3,16247,69492,0,16208,12040,15797,339,43,30.00,16.50,18.00,6.5,idle_spawn
11,0.304,28.737,34.8,16258,69545,0,16219,12049,15808,339,43,30.00,16.50,18.00,7.3,idle_spawn
12,0.332,28.708,34.8,16254,69519,0,16215,12045,15804,339,43,30.00,16.50,18.00,8.0,idle_spawn
13,0.361,28.469,35.1,16269,69590,0,16230,12056,15819,339,43,30.00,16.50,18.00,8.7,idle_spawn
14,0.389,28.363,35.3,16279,69636,0,16240,12065,15829,339,43,30.00,16.50,18.00,9.3,idle_spawn
15,0.418,34.675,28.8,16291,69695,0,16252,12073,15841,339,43,30.00,16.50,18.00,10.0,idle_spawn
16,0.453,28.226,35.4,16303,69751,0,16264,12087,15853,339,43,30.00,16.50,18.00,10.9,idle_spawn
17,0.481,28.333,35.3,16315,69803,0,16276,12091,15865,339,43,30.00,16.50,18.00,11.5,idle_spawn
18,0.509,33.410,29.9,16326,69844,0,16287,12100,15876,339,43,30.00,16.50,18.00,12.2,idle_spawn
