frame,t,ms,fps,draws,uniforms,lookups,vao,tex,dcTerrain,dcObjects,dcHUD,camx,camy,camz,yaw,phase
1,0.000,40.065,25.0,16098,68880,55,16059,11951,15680,307,43,30.00,16.50,18.00,0.0,idle_spawn
2,0.040,25.647,39.0,16137,69034,0,16098,11971,15711,315,43,30.00,16.50,18.00,1.0,idle_spawn
3,0.066,23.784,42.0,16136,69041,0,16097,11974,15714,311,43,30.00,16.50,18.00,1.6,idle_spawn
4,0.090,26.828,37.3,16144,69087,0,16105,11982,15722,311,43,30.00,16.50,18.00,2.1,idle_spawn
5,0.116,27.016,37.0,16155,69144,0,16116,11992,15733,311,43,30.00,16.50,18.00,2.8,idle_spawn
6,0.143,25.781,38.8,16163,69182,0,16124,11998,15741,311,43,30.00,16.50,18.00,3.4,idle_spawn
7,0.169,31.486,31.8,16169,69208,0,16130,12000,15747,311,43,30.00,16.50,18.00,4.1,idle_spawn
8,0.201,30.903,32.4,16177,69241,0,16138,12004,15755,311,43,30.00,16.50,18.00,4.8,idle_spawn
9,0.232,25.012,40.0,16191,69309,0,16152,12016,15769,311,43,30.00,16.50,18.00,5.6,idle_spawn
10,0.257,27.627,36.2,16241,69552,0,16202,12065,15819,311,43,30.00,16.50,18.00,6.2,idle_spawn
11,0.284,29.752,33.6,16192,69303,0,16153,12015,15770,311,43,30.00,16.50,18.00,6.8,idle_spawn
12,0.314,27.774,36.0,16234,69506,0,16195,12053,15812,311,43,30.00,16.50,18.00,7.5,idle_spawn
13,0.342,24.724,40.4,16244,69549,0,16205,12059,15822,311,43,30.00,16.50,18.00,8.2,idle_spawn
14,0.367,25.231,39.6,16241,69534,0,16202,12056,15819,311,43,30.00,16.50,18.00,8.8,idle_spawn
15,0.392,25.096,39.8,16252,69585,0,16213,12066,15830,311,43,30.00,16.50,18.00,9.4,idle_spawn
16,0.417,31.782,31.5,16261,69629,0,16222,12071,15839,311,43,30.00,16.50,18.00,10.0,idle_spawn
17,0.449,27.798,36.0,16276,69703,0,16237,12088,15854,311,43,30.00,16.50,18.00,10.8,idle_spawn
18,0.476,25.361,39.4,16284,69732,0,16245,12088,15862,311,43,30.00,16.50,18.00,11.4,idle_spawn
19,0.502,25.547,39.1,16292,69758,0,16253,12094,15870,311,43,30.00,16.50,18.00,12.0,idle_spawn
20,0.527,25.466,39.3,16310,69843,0,16271,12110,15888,311,43,30.00,16.50,18.00,12.7,idle_spawn
21,0.553,25.144,39.8,16312,69848,0,16273,12110,15890,311,43,30.00,16.50,18.00,13.3,idle_spawn
22,0.578,25.695,38.9,16328,69920,0,16289,12124,15906,311,43,30.00,16.50,18.00,13.9,idle_spawn
23,0.604,25.308,39.5,16338,69969,0,16299,12130,15916,311,43,30.00,16.50,18.00,14.5,idle_spawn
24,0.629,30.841,32.4,16349,70027,0,16310,12138,15927,311,43,30.00,16.50,18.00,15.1,idle_spawn
25,0.660,25.238,39.6,16357,70074,0,16318,12144,15935,311,43,30.00,16.50,18.00,15.8,idle_spawn
26,0.685,27.884,35.9,16372,70148,0,16333,12155,15950,311,43,30.00,16.50,18.00,16.4,idle_spawn
27,0.713,25.306,39.5,16385,70216,0,16346,12162,15963,311,43,30.00,16.50,18.00,17.1,idle_spawn
28,0.738,24.950,40.1,16396,70270,0,16357,12172,15974,311,43,30.00,16.50,18.00,17.7,idle_spawn
29,0.763,27.737,36.1,16410,70336,0,16371,12182,15988,311,43,30.00,16.50,18.00,18.3,idle_spawn
30,0.791,25.480,39.2,16423,70398,0,16384,12192,16001,311,43,30.00,16.50,18.00,19.0,idle_spawn
31,0.817,33.454,29.9,16435,70457,0,16396,12203,16013,311,43,30.00,16.50,18.00,19.6,idle_spawn
32,0.850,39.606,25.2,16456,70556,0,16417,12218,16034,311,43,30.00,16.50,18.00,20.4,idle_spawn
33,0.890,33.664,29.7,16465,70614,0,16426,12229,16047,307,43,30.00,16.50,18.00,21.4,idle_spawn
34,0.923,33.787,29.6,16484,70705,0,16445,12244,16066,307,43,30.00,16.50,18.00,22.2,idle_spawn
35,0.957,33.581,29.8,16496,70759,0,16457,12250,16078,307,43,30.00,16.50,18.00,23.0,idle_spawn
36,0.991,30.236,33.1,16514,70847,0,16475,12266,16096,307,43,30.00,16.50,18.00,23.8,idle_spawn
37,1.021,28.261,35.4,16532,70940,0,16493,12281,16114,307,43,30.00,16.50,18.00,24.5,idle_spawn
38,1.049,26.012,38.4,16539,70974,0,16500,12284,16121,307,43,30.00,16.50,18.00,25.2,idle_spawn
39,1.075,34.371,29.1,16552,71040,0,16513,12295,16134,307,43,30.00,16.50,18.00,25.8,idle_spawn
40,1.110,26.180,38.2,16577,71158,0,16538,12312,16155,311,43,30.00,16.50,18.00,26.6,idle_spawn
41,1.136,25.847,38.7,16590,71224,0,16551,12323,16168,311,43,30.00,16.50,18.00,27.3,idle_spawn
42,1.162,25.760,38.8,16612,71339,0,16573,12341,16190,311,43,30.00,16.50,18.00,27.9,idle_spawn
43,1.187,25.466,39.3,16620,71384,0,16581,12348,16198,311,43,30.00,16.50,18.00,28.5,idle_spawn
44,1.213,30.207,33.1,16635,71465,0,16596,12360,16213,311,43,30.00,16.50,18.00,29.1,idle_spawn
45,1.243,25.855,38.7,16679,71689,0,16640,12402,16257,311,43,30.00,16.50,18.00,29.8,idle_spawn
46,1.269,26.104,38.3,16668,71652,0,16629,12395,16250,307,43,30.00,16.50,18.00,30.5,idle_spawn
47,1.295,31.844,31.4,16661,71627,0,16622,12390,16247,303,43,30.00,16.50,18.00,31.1,idle_spawn
48,1.327,25.726,38.9,16697,71811,0,16658,12418,16283,303,43,30.00,16.50,18.00,31.8,idle_spawn
49,1.353,25.807,38.7,16712,71872,0,16673,12427,16294,307,43,30.00,16.50,18.00,32.5,idle_spawn
50,1.378,28.529,35.1,16724,71937,0,16685,12438,16306,307,43,30.00,16.50,18.00,33.1,idle_spawn
51,1.407,30.226,33.1,16748,72059,0,16709,12461,16330,307,43,30.00,16.50,18.00,33.8,idle_spawn
52,1.437,31.377,31.9,16763,72126,0,16724,12474,16345,307,43,30.00,16.50,18.00,34.5,idle_spawn
