frame,t,ms,fps,draws,uniforms,lookups,vao,tex,dcTerrain,dcObjects,dcHUD,camx,camy,camz,yaw,phase
1,0.000,34.319,29.1,16059,68802,58,16020,11951,0,0,43,30.00,16.50,18.00,0.0,idle_spawn
2,0.034,25.270,39.6,16096,68952,0,16057,11971,0,0,43,30.00,16.50,18.00,0.8,idle_spawn
3,0.060,32.870,30.4,16097,68957,0,16058,11972,0,0,43,30.00,16.50,18.00,1.4,idle_spawn
4,0.092,32.416,30.8,16106,69008,0,16067,11981,0,0,43,30.00,16.50,18.00,2.2,idle_spawn
5,0.125,32.450,30.8,16115,69054,0,16076,11988,0,0,43,30.00,16.50,18.00,3.0,idle_spawn
6,0.157,32.584,30.7,16134,69145,0,16095,12003,0,0,43,30.00,16.50,18.00,3.8,idle_spawn
7,0.190,25.122,39.8,16139,69165,0,16100,12006,0,0,43,30.00,16.50,18.00,4.6,idle_spawn
8,0.215,30.586,32.7,16157,69247,0,16118,12019,0,0,43,30.00,16.50,18.00,5.2,idle_spawn
9,0.246,26.045,38.4,16155,69236,0,16116,12016,0,0,43,30.00,16.50,18.00,5.9,idle_spawn
10,0.272,25.178,39.7,16182,69362,0,16143,12040,0,0,43,30.00,16.50,18.00,6.5,idle_spawn
11,0.297,24.774,40.4,16173,69317,0,16134,12031,0,0,43,30.00,16.50,18.00,7.1,idle_spawn
12,0.322,24.497,40.8,16183,69362,0,16144,12039,0,0,43,30.00,16.50,18.00,7.7,idle_spawn
13,0.346,24.345,41.1,16208,69481,0,16169,12061,0,0,43,30.00,16.50,18.00,8.3,idle_spawn
14,0.371,24.650,40.6,16207,69472,0,16168,12059,0,0,43,30.00,16.50,18.00,8.9,idle_spawn
15,0.395,24.910,40.1,16219,69531,0,16180,12070,0,0,43,30.00,16.50,18.00,9.5,idle_spawn
16,0.420,30.953,32.3,16227,69569,0,16188,12073,0,0,43,30.00,16.50,18.00,10.1,idle_spawn
17,0.451,24.345,41.1,16239,69626,0,16200,12088,0,0,43,30.00,16.50,18.00,10.8,idle_spawn
18,0.475,24.691,40.5,16248,69663,0,16209,12089,0,0,43,30.00,16.50,18.00,11.4,idle_spawn
19,0.500,25.418,39.3,16255,69688,0,16216,12095,0,0,43,30.00,16.50,18.00,12.0,idle_spawn
20,0.526,26.133,38.3,16269,69749,0,16230,12106,0,0,43,30.00,16.50,18.00,12.6,idle_spawn
21,0.552,27.194,36.8,16276,69780,0,16237,12112,0,0,43,30.00,16.50,18.00,13.2,idle_spawn
22,0.579,26.522,37.7,16289,69839,0,16250,12122,0,0,43,30.00,16.50,18.00,13.9,idle_spawn
23,0.605,25.368,39.4,16298,69880,0,16259,12127,0,0,43,30.00,16.50,18.00,14.5,idle_spawn
24,0.631,31.306,31.9,16313,69958,0,16274,12139,0,0,43,30.00,16.50,18.00,15.1,idle_spawn
25,0.662,24.734,40.4,16317,69988,0,16278,12141,0,0,43,30.00,16.50,18.00,15.9,idle_spawn
26,0.687,24.741,40.4,16334,70069,0,16295,12154,0,0,43,30.00,16.50,18.00,16.5,idle_spawn
27,0.712,24.414,41.0,16344,70124,0,16305,12160,0,0,43,30.00,16.50,18.00,17.1,idle_spawn
28,0.736,25.279,39.6,16358,70191,0,16319,12171,0,0,43,30.00,16.50,18.00,17.7,idle_spawn
29,0.761,24.634,40.6,16366,70228,0,16327,12176,0,0,43,30.00,16.50,18.00,18.3,idle_spawn
30,0.786,24.915,40.1,16380,70295,0,16341,12187,0,0,43,30.00,16.50,18.00,18.9,idle_spawn
31,0.811,25.264,39.6,16391,70349,0,16352,12197,0,0,43,30.00,16.50,18.00,19.5,idle_spawn
32,0.836,31.403,31.8,16399,70402,0,16360,12206,0,0,43,30.00,16.50,18.00,20.1,idle_spawn
33,0.868,24.580,40.7,16416,70488,0,16377,12221,0,0,43,30.00,16.50,18.00,20.8,idle_spawn
34,0.892,28.418,35.2,16426,70536,0,16387,12229,0,0,43,30.00,16.50,18.00,21.4,idle_spawn
35,0.921,33.261,30.1,16445,70627,0,16406,12244,0,0,43,30.00,16.50,18.00,22.1,idle_spawn
36,0.954,33.267,30.1,16446,70657,0,16407,12250,0,0,43,30.00,16.50,18.00,22.9,idle_spawn
37,0.987,33.790,29.6,16457,70709,0,16418,12258,0,0,43,30.00,16.50,18.00,23.7,idle_spawn
38,1.021,33.135,30.2,16483,70842,0,16444,12281,0,0,43,30.00,16.50,18.00,24.5,idle_spawn
39,1.054,39.398,25.4,16498,70901,0,16459,12286,0,0,43,30.00,16.50,18.00,25.3,idle_spawn
40,1.094,31.797,31.4,16524,71029,0,16485,12307,0,0,43,30.00,16.50,18.00,26.2,idle_spawn
41,1.125,24.855,40.2,16537,71099,0,16498,12319,0,0,43,30.00,16.50,18.00,27.0,idle_spawn
42,1.150,23.633,42.3,16552,71181,0,16513,12329,0,0,43,30.00,16.50,18.00,27.6,idle_spawn
43,1.174,25.175,39.7,16571,71281,0,16532,12347,0,0,43,30.00,16.50,18.00,28.2,idle_spawn
44,1.199,28.540,35.0,16580,71328,0,16541,12352,0,0,43,30.00,16.50,18.00,28.8,idle_spawn
45,1.228,30.354,32.9,16589,71395,0,16550,12365,0,0,43,30.00,16.50,18.00,29.5,idle_spawn
46,1.258,29.887,33.5,16620,71574,0,16581,12402,0,0,43,30.00,16.50,18.00,30.2,idle_spawn
47,1.288,25.461,39.3,16615,71534,0,16576,12391,0,0,43,30.00,16.50,18.00,30.9,idle_spawn
48,1.313,24.931,40.1,16636,71637,0,16597,12404,0,0,43,30.00,16.50,18.00,31.5,idle_spawn
49,1.338,25.048,39.9,16652,71720,0,16613,12417,0,0,43,30.00,16.50,18.00,32.1,idle_spawn
50,1.363,25.054,39.9,16670,71812,0,16631,12434,0,0,43,30.00,16.50,18.00,32.7,idle_spawn
51,1.388,24.715,40.5,16685,71888,0,16646,12447,0,0,43,30.00,16.50,18.00,33.3,idle_spawn
52,1.413,24.731,40.4,16697,71948,0,16658,12459,0,0,43,30.00,16.50,18.00,33.9,idle_spawn
53,1.438,24.808,40.3,16713,72023,0,16674,12473,0,0,43,30.00,16.50,18.00,34.5,idle_spawn
54,1.463,30.875,32.4,16732,72114,0,16693,12491,0,0,43,30.00,16.50,18.00,35.1,idle_spawn
55,1.494,27.344,36.6,16762,72252,0,16723,12518,0,0,43,30.00,16.50,18.00,35.8,idle_spawn
56,1.521,26.790,37.3,16779,72359,0,16740,12539,0,0,43,30.00,16.50,18.00,36.5,idle_spawn
57,1.548,30.026,33.3,16795,72416,0,16756,12547,0,0,43,30.00,16.50,18.00,37.1,idle_spawn
58,1.578,34.193,29.2,16820,72530,0,16781,12570,0,0,43,30.00,16.50,18.00,37.9,idle_spawn
59,1.612,27.061,37.0,16845,72638,0,16806,12593,0,0,43,30.00,16.50,18.00,38.7,idle_spawn
60,1.639,27.986,35.7,16870,72758,0,16831,12616,0,0,43,30.00,16.50,18.00,39.3,idle_spawn
61,1.667,32.814,30.5,16887,72830,0,16848,12632,0,0,43,30.00,16.50,18.00,40.0,idle_spawn
62,1.700,25.876,38.6,16910,72945,0,16871,12655,0,0,43,30.00,16.50,18.00,40.8,idle_spawn
63,1.726,30.691,32.6,16932,73047,0,16893,12675,0,0,43,30.00,16.50,18.00,41.4,idle_spawn
64,1.756,30.350,32.9,16955,73162,0,16916,12698,0,0,43,30.00,16.50,18.00,42.2,idle_spawn
65,1.787,27.334,36.6,16977,73271,0,16938,12719,0,0,43,30.00,16.50,18.00,42.9,idle_spawn
66,1.814,26.276,38.1,16991,73340,0,16952,12732,0,0,43,30.00,16.50,18.00,43.5,idle_spawn
67,1.840,24.045,41.6,17012,73454,0,16973,12753,0,0,43,30.00,16.50,18.00,44.2,idle_spawn
68,1.864,28.125,35.6,17028,73536,0,16989,12768,0,0,43,30.00,16.50,18.00,44.7,idle_spawn
69,1.893,29.840,33.5,17050,73654,0,17011,12789,0,0,43,30.00,16.50,18.00,45.4,idle_spawn
70,1.922,23.744,42.1,17069,73769,0,17030,12813,0,0,43,30.00,16.50,18.00,46.1,idle_spawn
71,1.946,23.505,42.5,17082,73840,0,17043,12826,0,0,43,30.00,16.50,18.00,46.7,idle_spawn
72,1.970,27.720,36.1,17107,73968,0,17068,12851,0,0,43,30.00,16.50,18.00,47.3,idle_spawn
73,1.997,25.427,39.3,17127,74072,0,17088,12869,0,0,43,30.00,16.50,18.00,47.9,idle_spawn
74,2.023,27.419,36.5,17138,74132,0,17099,12879,0,0,43,30.00,16.50,18.00,48.5,idle_spawn
75,2.050,30.741,32.5,17166,74272,0,17127,12907,0,0,43,30.00,16.50,18.00,49.2,idle_spawn
76,2.081,31.877,31.4,17180,74345,0,17141,12921,0,0,43,30.00,16.50,18.00,49.9,idle_spawn
77,2.113,37.677,26.5,17208,74491,0,17169,12949,0,0,43,30.00,16.50,18.00,50.7,idle_spawn
78,2.151,31.643,31.6,17229,74605,0,17190,12970,0,0,43,30.00,16.50,18.00,51.6,idle_spawn
79,2.182,29.836,33.5,17261,74769,0,17222,13000,0,0,43,30.00,16.50,18.00,52.4,idle_spawn
80,2.212,32.042,31.2,17283,74879,0,17244,13022,0,0,43,30.00,16.50,18.00,53.1,idle_spawn
81,2.244,31.660,31.6,17268,74801,0,17229,13007,0,0,43,30.00,16.50,18.00,53.9,idle_spawn
82,2.276,32.075,31.2,17325,75086,0,17286,13064,0,0,43,30.00,16.50,18.00,54.6,idle_spawn
83,2.308,31.920,31.3,17351,75213,0,17312,13090,0,0,43,30.00,16.50,18.00,55.4,idle_spawn
84,2.340,37.606,26.6,17374,75322,0,17335,13113,0,0,43,30.00,16.50,18.00,56.2,idle_spawn
85,2.377,32.043,31.2,17407,75465,0,17368,13139,0,0,43,30.00,16.50,18.00,57.1,idle_spawn
86,2.409,31.802,31.4,17433,75571,0,17394,13159,0,0,43,30.00,16.50,18.00,57.8,idle_spawn
87,2.441,24.321,41.1,17472,75745,0,17433,13192,0,0,43,30.00,16.50,18.00,58.6,idle_spawn
88,2.466,24.249,41.2,17486,75827,0,17447,13206,0,0,43,30.00,16.50,18.00,59.2,idle_spawn
