frame,t,ms,fps,draws,uniforms,lookups,vao,tex,dcTerrain,dcObjects,dcHUD,camx,camy,camz,yaw,phase
1,0.000,23.282,43.0,16041,68768,58,16002,11951,0,0,43,30.00,16.50,18.00,0.0,boot
2,0.023,8.956,111.7,16062,68858,0,16023,11963,0,0,43,30.00,16.50,18.00,0.6,boot
3,0.032,16.027,62.4,16073,68911,0,16034,11972,0,0,43,30.00,16.50,18.00,0.8,boot
4,0.048,8.100,123.5,16068,68889,0,16029,11967,0,0,43,30.00,16.50,18.00,1.2,boot
5,0.056,8.206,121.9,16072,68909,0,16033,11971,0,0,43,30.00,16.50,18.00,1.4,boot
6,0.065,8.446,118.4,16088,68950,0,16049,11975,0,0,43,30.00,16.50,18.00,1.6,boot
7,0.073,8.411,118.9,16094,68980,0,16055,11981,0,0,43,30.00,16.50,18.00,1.8,boot
8,0.082,10.358,96.5,16095,68985,0,16056,11982,0,0,43,30.00,16.50,18.00,2.0,boot
9,0.092,10.331,96.8,16101,69003,0,16062,11982,0,0,43,30.00,16.50,18.00,2.2,boot
10,0.102,10.201,98.0,16103,69014,0,16064,11985,0,0,43,30.00,16.50,18.00,2.5,boot
11,0.112,10.630,94.1,16113,69066,0,16074,11994,0,0,43,30.00,16.50,18.00,2.7,boot
12,0.123,10.895,91.8,16113,69064,0,16074,11992,0,0,43,30.00,16.50,18.00,3.0,boot
13,0.134,9.981,100.2,16113,69064,0,16074,11992,0,0,43,30.00,16.50,18.00,3.2,boot
14,0.144,10.552,94.8,16122,69108,0,16083,12000,0,0,43,30.00,16.50,18.00,3.5,boot
15,0.155,10.811,92.5,16125,69138,0,16086,12006,0,0,43,30.00,16.50,18.00,3.7,boot
16,0.165,10.965,91.2,16120,69117,0,16081,12002,0,0,43,30.00,16.50,18.00,4.0,boot
17,0.176,10.372,96.4,16127,69146,0,16088,12006,0,0,43,30.00,16.50,18.00,4.2,boot
18,0.187,9.814,101.9,16127,69146,0,16088,12006,0,0,43,30.00,16.50,18.00,4.5,boot
19,0.197,10.320,96.9,16121,69111,0,16082,11998,0,0,43,30.00,16.50,18.00,4.7,boot
20,0.207,10.636,94.0,16132,69162,0,16093,12008,0,0,43,30.00,16.50,18.00,5.0,boot
21,0.218,9.943,100.6,16156,69264,0,16117,12023,0,0,43,30.00,16.50,18.00,5.2,boot
22,0.228,10.837,92.3,16153,69250,0,16114,12021,0,0,43,30.00,16.50,18.00,5.5,boot
23,0.238,10.370,96.4,16137,69169,0,16098,12004,0,0,43,30.00,16.50,18.00,5.7,boot
24,0.249,11.105,90.0,16160,69278,0,16121,12027,0,0,43,30.00,16.50,18.00,6.0,boot
25,0.260,10.524,95.0,16206,69487,0,16167,12067,0,0,43,30.00,16.50,18.00,6.2,boot
26,0.270,9.865,101.4,16183,69371,0,16144,12043,0,0,43,30.00,16.50,18.00,6.5,boot
27,0.280,11.288,88.6,16161,69260,0,16122,12020,0,0,43,30.00,16.50,18.00,6.7,boot
28,0.292,10.543,94.9,16165,69278,0,16126,12022,0,0,43,30.00,16.50,18.00,7.0,boot
29,0.302,9.922,100.8,16192,69412,0,16153,12048,0,0,43,30.00,16.50,18.00,7.3,boot
30,0.312,9.880,101.2,16194,69419,0,16155,12050,0,0,43,30.00,16.50,18.00,7.5,boot
31,0.322,10.650,93.9,16183,69364,0,16144,12039,0,0,43,30.00,16.50,18.00,7.7,boot
32,0.333,10.027,99.7,16192,69406,0,16153,12048,0,0,43,30.00,16.50,18.00,8.0,boot
33,0.343,10.037,99.6,16204,69462,0,16165,12056,0,0,43,30.00,16.50,18.00,8.2,boot
34,0.353,9.987,100.1,16207,69478,0,16168,12060,0,0,43,30.00,16.50,18.00,8.5,boot
35,0.363,9.972,100.3,16203,69457,0,16164,12055,0,0,43,30.00,16.50,18.00,8.7,boot
36,0.373,12.213,81.9,16215,69514,0,16176,12067,0,0,43,30.00,16.50,18.00,8.9,boot
37,0.385,8.584,116.5,16215,69513,0,16176,12066,0,0,43,30.00,16.50,18.00,9.2,boot
38,0.394,9.599,104.2,16217,69523,0,16178,12068,0,0,43,30.00,16.50,18.00,9.4,boot
39,0.403,9.670,103.4,16224,69556,0,16185,12073,0,0,43,30.00,16.50,18.00,9.7,boot
40,0.413,10.660,93.8,16219,69550,0,16180,12072,0,0,43,30.00,16.50,18.00,9.9,boot
41,0.424,8.537,117.1,16225,69578,0,16186,12076,0,0,43,30.00,16.50,18.00,10.2,boot
42,0.432,9.200,108.7,16229,69597,0,16190,12079,0,0,43,30.00,16.50,18.00,10.4,boot
43,0.441,9.163,109.1,16231,69608,0,16192,12082,0,0,43,30.00,16.50,18.00,10.6,boot
44,0.451,9.015,110.9,16233,69616,0,16194,12088,0,0,43,30.00,16.50,18.00,10.8,boot
45,0.460,9.322,107.3,16235,69624,0,16196,12088,0,0,43,30.00,16.50,18.00,11.0,boot
46,0.469,9.337,107.1,16239,69641,0,16200,12089,0,0,43,30.00,16.50,18.00,11.3,boot
47,0.478,13.940,71.7,16245,69668,0,16206,12092,0,0,43,30.00,16.50,18.00,11.5,boot
48,0.492,9.591,104.3,16248,69676,0,16209,12094,0,0,43,30.00,16.50,18.00,11.8,boot
49,0.502,8.128,123.0,16249,69674,0,16210,12094,0,0,43,30.00,16.50,18.00,12.0,boot
50,0.510,8.554,116.9,16256,69708,0,16217,12100,0,0,43,30.00,16.50,18.00,12.2,boot
51,0.519,8.133,123.0,16257,69712,0,16218,12100,0,0,43,30.00,16.50,18.00,12.4,boot
52,0.527,8.622,116.0,16264,69744,0,16225,12107,0,0,43,30.00,16.50,18.00,12.6,boot
53,0.535,8.331,120.0,16262,69733,0,16223,12104,0,0,43,30.00,16.50,18.00,12.8,boot
54,0.544,9.207,108.6,16260,69717,0,16221,12102,0,0,43,30.00,16.50,18.00,13.0,boot
55,0.553,8.781,113.9,16269,69764,0,16230,12110,0,0,43,30.00,16.50,18.00,13.3,boot
56,0.562,9.194,108.8,16277,69800,0,16238,12117,0,0,43,30.00,16.50,18.00,13.5,boot
57,0.571,11.768,85.0,16277,69800,0,16238,12117,0,0,43,30.00,16.50,18.00,13.7,boot
58,0.583,11.635,85.9,16283,69827,0,16244,12120,0,0,43,30.00,16.50,18.00,14.0,boot
59,0.594,8.261,121.1,16292,69854,0,16253,12123,0,0,43,30.00,16.50,18.00,14.3,boot
60,0.603,8.081,123.7,16296,69872,0,16257,12125,0,0,43,30.00,16.50,18.00,14.5,boot
61,0.611,8.544,117.0,16299,69883,0,16260,12127,0,0,43,30.00,16.50,18.00,14.7,boot
62,0.619,10.076,99.2,16305,69918,0,16266,12132,0,0,43,30.00,16.50,18.00,14.9,boot
63,0.629,8.689,115.1,16311,69950,0,16272,12137,0,0,43,30.00,16.50,18.00,15.1,boot
64,0.638,8.486,117.8,16315,69975,0,16276,12140,0,0,43,30.00,16.50,18.00,15.3,boot
65,0.647,8.731,114.5,16317,69988,0,16278,12142,0,0,43,30.00,16.50,18.00,15.5,boot
66,0.655,8.866,112.8,16318,69993,0,16279,12143,0,0,43,30.00,16.50,18.00,15.7,boot
67,0.664,9.293,107.6,16322,70014,0,16283,12145,0,0,43,30.00,16.50,18.00,15.9,boot
68,0.673,8.414,118.9,16327,70040,0,16288,12148,0,0,43,30.00,16.50,18.00,16.2,boot
69,0.682,8.644,115.7,16327,70040,0,16288,12148,0,0,43,30.00,16.50,18.00,16.4,boot
70,0.691,9.359,106.9,16334,70071,0,16295,12154,0,0,43,30.00,16.50,18.00,16.6,boot
71,0.700,8.449,118.4,16336,70082,0,16297,12154,0,0,43,30.00,16.50,18.00,16.8,boot
72,0.708,12.082,82.8,16334,70076,0,16295,12150,0,0,43,30.00,16.50,18.00,17.0,boot
73,0.720,8.585,116.5,16355,70179,0,16316,12169,0,0,43,30.00,16.50,18.00,17.3,boot
74,0.729,10.069,99.3,16352,70164,0,16313,12166,0,0,43,30.00,16.50,18.00,17.5,boot
75,0.739,8.895,112.4,16357,70188,0,16318,12170,0,0,43,30.00,16.50,18.00,17.7,boot
76,0.748,9.975,100.3,16362,70212,0,16323,12174,0,0,43,30.00,16.50,18.00,18.0,boot
77,0.758,8.849,113.0,16366,70230,0,16327,12176,0,0,43,30.00,16.50,18.00,18.2,boot
78,0.767,8.241,121.3,16365,70224,0,16326,12174,0,0,43,30.00,16.50,18.00,18.4,boot
79,0.775,8.568,116.7,16371,70254,0,16332,12180,0,0,43,30.00,16.50,18.00,18.6,boot
80,0.784,11.530,86.7,16380,70299,0,16341,12189,0,0,43,30.00,16.50,18.00,18.8,boot
81,0.795,9.643,103.7,16392,70356,0,16353,12198,0,0,43,30.00,16.50,18.00,19.1,boot
82,0.805,14.414,69.4,16387,70331,0,16348,12193,0,0,43,30.00,16.50,18.00,19.3,boot
83,0.819,10.472,95.5,16400,70394,0,16361,12204,0,0,43,30.00,16.50,18.00,19.7,boot
84,0.830,8.449,118.4,16400,70392,0,16361,12202,0,0,43,30.00,16.50,18.00,19.9,boot
85,0.838,8.305,120.4,16406,70421,0,16367,12207,0,0,43,30.00,16.50,18.00,20.1,boot
86,0.847,8.470,118.1,16411,70445,0,16372,12211,0,0,43,30.00,16.50,18.00,20.3,boot
87,0.855,8.677,115.2,16416,70470,0,16377,12216,0,0,43,30.00,16.50,18.00,20.5,boot
88,0.864,8.432,118.6,16422,70503,0,16383,12222,0,0,43,30.00,16.50,18.00,20.7,boot
89,0.872,8.150,122.7,16422,70501,0,16383,12220,0,0,43,30.00,16.50,18.00,20.9,boot
90,0.880,8.563,116.8,16427,70525,0,16388,12224,0,0,43,30.00,16.50,18.00,21.1,boot
91,0.889,8.666,115.4,16430,70540,0,16391,12227,0,0,43,30.00,16.50,18.00,21.3,boot
92,0.898,8.386,119.2,16435,70564,0,16396,12231,0,0,43,30.00,16.50,18.00,21.5,boot
93,0.906,8.132,123.0,16442,70597,0,16403,12236,0,0,43,30.00,16.50,18.00,21.7,boot
94,0.914,8.414,118.8,16444,70606,0,16405,12237,0,0,43,30.00,16.50,18.00,21.9,boot
95,0.923,8.894,112.4,16451,70641,0,16412,12244,0,0,43,30.00,16.50,18.00,22.1,boot
96,0.931,13.869,72.1,16451,70638,0,16412,12241,0,0,43,30.00,16.50,18.00,22.4,boot
97,0.945,10.862,92.1,16454,70670,0,16415,12249,0,0,43,30.00,16.50,18.00,22.7,boot
98,0.956,9.156,109.2,16459,70694,0,16420,12253,0,0,43,30.00,16.50,18.00,22.9,boot
99,0.965,8.306,120.4,16470,70747,0,16431,12262,0,0,43,30.00,16.50,18.00,23.2,boot
100,0.974,8.716,114.7,16477,70782,0,16438,12269,0,0,43,30.00,16.50,18.00,23.4,boot
101,0.982,8.684,115.2,16453,70661,0,16414,12244,0,0,43,30.00,16.50,18.00,23.6,boot
102,0.991,9.024,110.8,16476,70779,0,16437,12267,0,0,43,30.00,16.50,18.00,23.8,boot
103,1.000,8.387,119.2,16481,70803,0,16442,12271,0,0,43,30.00,16.50,18.00,24.0,boot
104,1.009,8.969,111.5,16483,70816,0,16444,12273,0,0,43,30.00,16.50,18.00,24.2,boot
105,1.018,8.396,119.1,16493,70864,0,16454,12281,0,0,43,30.00,16.50,18.00,24.4,boot
