frame,t,ms,fps,draws,uniforms,lookups,vao,tex,dcTerrain,dcObjects,dcHUD,camx,camy,camz,yaw,phase
1,0.000,15.549,64.3,16065,68816,58,16026,11951,0,0,43,30.00,16.50,18.00,0.0,boot
2,0.016,11.591,86.3,16078,68874,0,16039,11960,0,0,43,30.00,16.50,18.00,0.4,boot
3,0.027,8.975,111.4,16089,68920,0,16050,11965,0,0,43,30.00,16.50,18.00,0.7,boot
4,0.036,11.106,90.0,16096,68954,0,16057,11971,0,0,43,30.00,16.50,18.00,0.9,boot
5,0.047,9.050,110.5,16093,68942,0,16054,11968,0,0,43,30.00,16.50,18.00,1.1,boot
6,0.056,13.193,75.8,16096,68957,0,16057,11971,0,0,43,30.00,16.50,18.00,1.4,boot
7,0.070,16.150,61.9,16104,68994,0,16065,11979,0,0,43,30.00,16.50,18.00,1.7,boot
8,0.086,16.654,60.0,16111,69015,0,16072,11981,0,0,43,30.00,16.50,18.00,2.1,boot
9,0.102,16.204,61.7,16109,69026,0,16070,11985,0,0,43,30.00,16.50,18.00,2.5,boot
10,0.119,16.981,58.9,16119,69077,0,16080,11993,0,0,43,30.00,16.50,18.00,2.8,boot
11,0.136,17.873,56.0,16121,69085,0,16082,11993,0,0,43,30.00,16.50,18.00,3.3,boot
12,0.153,17.950,55.7,16134,69147,0,16095,12003,0,0,43,30.00,16.50,18.00,3.7,boot
13,0.171,15.571,64.2,16137,69161,0,16098,12005,0,0,43,30.00,16.50,18.00,4.1,boot
14,0.187,15.881,63.0,16139,69170,0,16100,12006,0,0,43,30.00,16.50,18.00,4.5,boot
15,0.203,16.850,59.3,16143,69180,0,16104,12006,0,0,43,30.00,16.50,18.00,4.9,boot
16,0.220,17.316,57.7,16162,69277,0,16123,12024,0,0,43,30.00,16.50,18.00,5.3,boot
17,0.237,16.881,59.2,16145,69193,0,16106,12008,0,0,43,30.00,16.50,18.00,5.7,boot
18,0.254,15.941,62.7,16191,69416,0,16152,12053,0,0,43,30.00,16.50,18.00,6.1,boot
19,0.270,16.955,59.0,16184,69376,0,16145,12044,0,0,43,30.00,16.50,18.00,6.5,boot
20,0.287,16.217,61.7,16158,69249,0,16119,12018,0,0,43,30.00,16.50,18.00,6.9,boot
21,0.303,16.989,58.9,16192,69412,0,16153,12048,0,0,43,30.00,16.50,18.00,7.3,boot
