frame,t,ms,fps,draws,uniforms,lookups,vao,tex,dcTerrain,dcObjects,dcHUD,camx,camy,camz,yaw,phase,msTerrain,msObjects,msHUD,msSwap,colTested,colCulledDist,blkTested,blkAir,blkOccluded,blkFrustum,blkDrawn,dcBlocks,dcTrees,dcTorches,dcRuins,nTrees,nTorch,msTopScan
1,0.000,43.654,22.9,83067,206529,206529,83028,12331,82584,376,43,3.03,30.26,7.13,-90.0,idle_spawn,37.067,0.211,0.108,0.283,32761,20666,162146,76018,36219,36551,13358,13358,65423,142,364,55,71,0.031
2,0.044,42.989,23.3,83093,206645,206645,83054,12346,82610,376,43,3.03,29.99,7.13,-90.0,idle_spawn,42.126,0.210,0.088,0.391,32761,20666,162146,76018,36219,36525,13384,13384,65423,142,364,55,71,0.027
3,0.087,33.150,30.2,83410,208247,208247,83371,12665,82927,376,43,3.03,29.70,7.13,-90.0,idle_spawn,32.259,0.121,0.087,0.300,32761,20666,162146,76018,36219,36208,13701,13701,65423,142,364,55,71,0.026
4,0.120,34.870,28.7,83452,208457,208457,83413,12707,82969,376,43,3.03,29.45,7.13,-90.0,idle_spawn,34.013,0.129,0.090,0.287,32761,20666,162146,76018,36219,36166,13743,13743,65423,142,364,55,71,0.031
5,0.155,43.049,23.2,83469,208537,208537,83430,12722,82986,376,43,3.03,29.18,7.13,-90.0,idle_spawn,42.220,0.223,0.080,0.279,32761,20666,162146,76018,36219,36149,13760,13760,65423,142,364,55,71,0.029
6,0.198,44.203,22.6,83773,210058,210058,83734,13021,83290,376,43,3.03,28.81,7.13,-90.0,idle_spawn,43.325,0.184,0.091,0.339,32761,20666,162146,76018,36219,35845,14064,14064,65423,142,364,55,71,0.026
7,0.242,40.884,24.5,83825,210288,210288,83786,13046,83342,376,43,3.03,28.41,7.13,-90.0,idle_spawn,38.110,0.202,0.152,0.244,32761,20666,162146,76018,36219,35793,14116,14116,65423,142,364,55,71,0.029
8,0.283,42.343,23.6,84006,211185,211185,83967,13222,83523,376,43,3.03,28.01,7.13,-90.0,idle_spawn,41.397,0.238,0.109,0.392,32761,20666,162146,76018,36219,35612,14297,14297,65423,142,364,55,71,0.020
9,0.325,40.889,24.5,84132,211814,211814,84093,13350,83649,376,43,3.03,27.56,7.13,-90.0,idle_spawn,40.000,0.137,0.091,0.298,32761,20666,162146,76018,36219,35486,14423,14423,65423,142,364,55,71,0.028
10,0.366,42.139,23.7,84285,212586,212586,84246,13501,83802,376,43,3.03,27.11,7.13,-90.0,idle_spawn,41.387,0.126,0.089,0.304,32761,20666,162146,76018,36219,35333,14576,14576,65423,142,364,55,71,0.036
11,0.408,40.570,24.6,84410,213210,213210,84371,13628,83927,376,43,3.03,26.62,7.13,-90.0,idle_spawn,39.806,0.126,0.106,0.273,32761,20666,162146,76018,36219,35208,14701,14701,65423,142,364,55,71,0.018
12,0.449,42.796,23.4,84665,214496,214496,84626,13882,84182,376,43,3.03,26.12,7.13,-90.0,idle_spawn,39.600,0.135,0.096,0.279,32761,20666,162146,76018,36219,34953,14956,14956,65423,142,364,55,71,0.024
13,0.492,40.059,25.0,84692,214620,214620,84653,13910,84209,376,43,3.03,25.57,7.13,-90.0,idle_spawn,39.362,0.123,0.082,0.260,32761,20666,162146,76018,36219,34926,14983,14983,65423,142,364,55,71,0.023
